"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Cidade Lider";"2017";"9188";"8578";"8608";"9862";"10660";"11312";"11808";"11410";"10269";"9081";"8073";"7197";"6000";"4543";"3020";"3178";
"Cidade Lider";"2018";"9095";"8783";"8418";"9594";"10725";"11154";"11707";"11510";"10468";"9231";"8190";"7271";"6180";"4727";"3219";"3334";
"Cidade Tiradentes";"2014";"17768";"17237";"19766";"21614";"20381";"20182";"19707";"17626";"15244";"13210";"11531";"9813";"7242";"4471";"2579";"2446";
"Cidade Tiradentes";"2015";"17913";"16678";"19217";"22057";"20485";"20113";"19989";"17998";"15547";"13426";"11693";"10173";"7776";"4838";"2769";"2564";
"Cidade Tiradentes";"2016";"17955";"16881";"18649";"21530";"20990";"20356";"20002";"18306";"15927";"13737";"11929";"10353";"8090";"5218";"3012";"2737";
"Cidade Tiradentes";"2017";"17993";"17076";"18090";"20992";"21492";"20581";"20010";"18610";"16311";"14050";"12163";"10531";"8414";"5623";"3273";"2922";
"Cidade Tiradentes";"2018";"18020";"17258";"17537";"20464";"21995";"20785";"20006";"18915";"16693";"14362";"12394";"10706";"8745";"6056";"3557";"3117";
"Consolação";"2014";"2111";"1640";"1690";"2119";"3749";"6723";"6291";"4900";"3915";"3668";"3972";"3776";"3326";"2807";"2144";"4620";
"Consolação";"2015";"2239";"1634";"1641";"1922";"3234";"6702";"6582";"5130";"3979";"3568";"3967";"3834";"3372";"2922";"2154";"4591";
"Consolação";"2016";"2273";"1752";"1652";"1885";"2955";"5853";"6638";"5421";"4211";"3666";"3903";"3872";"3461";"2999";"2270";"4650";
"Consolação";"2017";"2298";"1873";"1660";"1843";"2693";"5091";"6681";"5711";"4439";"3754";"3828";"3897";"3540";"3065";"2384";"4692";
"Consolação";"2018";"2318";"1995";"1661";"1796";"2448";"4414";"6696";"5999";"4668";"3833";"3740";"3910";"3612";"3126";"2497";"4724";
"Cursino";"2014";"6661";"5831";"5973";"6638";"7468";"9055";"9896";"9211";"8033";"7690";"7722";"7221";"5857";"4413";"3357";"6226";
"Cursino";"2015";"6876";"5827";"5857";"6561";"7153";"8800";"9962";"9479";"8106";"7637";"7735";"7443";"6109";"4613";"3337";"6308";
"Cursino";"2016";"6744";"6033";"5863";"6450";"7083";"8471";"9713";"9567";"8358";"7721";"7702";"7472";"6312";"4826";"3500";"6376";
"Cursino";"2017";"6611";"6239";"5866";"6336";"7013";"8146";"9451";"9664";"8615";"7800";"7664";"7499";"6519";"5047";"3666";"6442";
"Cursino";"2018";"6479";"6450";"5864";"6221";"6938";"7826";"9199";"9746";"8874";"7877";"7622";"7520";"6728";"5275";"3840";"6504";
"Ermelino Matarazzo";"2014";"8437";"7692";"8272";"9331";"9508";"10584";"10404";"9493";"8578";"7875";"6844";"5900";"4682";"3246";"2165";"2881";
"Ermelino Matarazzo";"2015";"8586";"7555";"7991";"9379";"9246";"10495";"10498";"9609";"8617";"8007";"6937";"6046";"4912";"3430";"2216";"2947";
"Ermelino Matarazzo";"2016";"8470";"7713";"7864";"9079";"9319";"10262";"10450";"9711";"8740";"8058";"7074";"6143";"5047";"3612";"2351";"3030";
"Ermelino Matarazzo";"2017";"8353";"7869";"7736";"8787";"9386";"10023";"10402";"9814";"8863";"8105";"7209";"6239";"5178";"3801";"2492";"3115";
"Ermelino Matarazzo";"2018";"8234";"8024";"7605";"8501";"9452";"9782";"10348";"9910";"8982";"8150";"7344";"6334";"5314";"3999";"2642";"3200";
"Freguesia do Ó";"2014";"8977";"7548";"8395";"9862";"10268";"12010";"12545";"11512";"10173";"9784";"9657";"8883";"6936";"5123";"3653";"6159";
"Freguesia do Ó";"2015";"9312";"7348";"8012";"9848";"9863";"11727";"12575";"11701";"10139";"9654";"9593";"9142";"7171";"5355";"3627";"6188";
"Freguesia do Ó";"2016";"9139";"7662";"7825";"9431";"9896";"11341";"12333";"11776";"10343";"9654";"9505";"9113";"7410";"5560";"3813";"6226";
"Freguesia do Ó";"2017";"8963";"7983";"7636";"9028";"9923";"10956";"12086";"11845";"10545";"9650";"9411";"9079";"7654";"5771";"4006";"6260";
"Freguesia do Ó";"2018";"8788";"8311";"7447";"8637";"9944";"10571";"11821";"11923";"10746";"9640";"9309";"9041";"7903";"5984";"4206";"6290";
"Grajaú";"2014";"31069";"27552";"31042";"35124";"33708";"34474";"33537";"30312";"27235";"24389";"19899";"15920";"11604";"7741";"4403";"4458";
"Grajaú";"2015";"31873";"26717";"29882";"35511";"33416";"34223";"33851";"30649";"27392";"25049";"20422";"16571";"12233";"8353";"4696";"4629";
"Grajaú";"2016";"31600";"27552";"29099";"34302";"34040";"34171";"33764";"31035";"27814";"25279";"21069";"17054";"12783";"8793";"5133";"4882";
"Grajaú";"2017";"31304";"28387";"28299";"33117";"34606";"34063";"33617";"31393";"28209";"25507";"21736";"17562";"13388";"9310";"5588";"5191";
"Grajaú";"2018";"31001";"29224";"27513";"31955";"35152";"33912";"33514";"31766";"28593";"25717";"22403";"18069";"13990";"9824";"6081";"5489";
"Guaianases";"2014";"8599";"7614";"8614";"9686";"9613";"9607";"9254";"8437";"7525";"6783";"5725";"4841";"3703";"2516";"1614";"1889";
"Guaianases";"2015";"8820";"7365";"8306";"9694";"9559";"9560";"9307";"8533";"7556";"6912";"5797";"4975";"3882";"2659";"1672";"1936";
"Guaianases";"2016";"8754";"7594";"8064";"9389";"9627";"9575";"9303";"8612";"7674";"6969";"5942";"5062";"4013";"2805";"1778";"2010";
"Guaianases";"2017";"8685";"7827";"7824";"9090";"9691";"9579";"9296";"8690";"7793";"7025";"6086";"5147";"4145";"2956";"1889";"2086";
"Guaianases";"2018";"8614";"8060";"7590";"8798";"9747";"9576";"9286";"8766";"7910";"7076";"6231";"5231";"4279";"3114";"2007";"2164";
"Iguatemi";"2014";"11386";"10128";"11548";"13026";"12732";"12499";"11757";"10508";"9804";"9094";"7530";"5962";"4346";"2823";"1705";"1689";
"Iguatemi";"2015";"11784";"9888";"11252";"13285";"12854";"12608";"12035";"10641";"9869";"9377";"7801";"6244";"4637";"3034";"1826";"1767";
"Iguatemi";"2016";"11830";"10261";"11003";"12966";"13117";"12773";"12162";"10908";"10012";"9456";"8068";"6486";"4870";"3248";"1971";"1881";
"Iguatemi";"2017";"11874";"10638";"10754";"12653";"13371";"12925";"12289";"11173";"10153";"9533";"8338";"6735";"5110";"3475";"2127";"2002";
"Iguatemi";"2018";"11913";"11022";"10506";"12337";"13626";"13068";"12409";"11441";"10292";"9604";"8612";"6989";"5360";"3718";"2292";"2128";
"Ipiranga";"2014";"6501";"5665";"5922";"6683";"7447";"8961";"9749";"9162";"8278";"7647";"7303";"6611";"5454";"4212";"3186";"6439";
"Ipiranga";"2015";"6732";"5642";"5792";"6643";"7171";"8737";"9827";"9340";"8413";"7676";"7383";"6797";"5656";"4399";"3187";"6428";
"Ipiranga";"2016";"6620";"5856";"5779";"6511";"7139";"8451";"9607";"9434";"8589";"7812";"7430";"6883";"5825";"4573";"3339";"6456";
"Ipiranga";"2017";"6509";"6072";"5763";"6379";"7104";"8169";"9376";"9538";"8766";"7948";"7473";"6967";"5998";"4748";"3495";"6480";
"Ipiranga";"2018";"6397";"6293";"5742";"6248";"7065";"7888";"9154";"9628";"8942";"8082";"7512";"7050";"6173";"4931";"3658";"6502";
"Itaim Bibi";"2014";"5049";"4017";"3307";"3513";"4681";"7120";"9759";"9843";"7845";"6432";"6453";"6279";"5738";"4620";"3432";"6847";
"Itaim Bibi";"2015";"5273";"4223";"3319";"3395";"4330";"6599";"9634";"10263";"8240";"6404";"6452";"6319";"5906";"4828";"3554";"6811";
"Itaim Bibi";"2016";"5145";"4438";"3505";"3422";"4194";"6140";"8974";"10180";"8644";"6760";"6465";"6353";"5978";"5004";"3742";"6944";
