"Localidades";"Períodos";"População de 0 a 4 Anos ";"População de 5 a 9 Anos ";"População de 10 a 14 Anos ";"População de 15 a 19 Anos ";"População de 20 a 24 Anos ";"População de 25 a 29 Anos ";"População de 30 a 34 Anos ";"População de 35 a 39 Anos ";"População de 40 a 44 Anos ";"População de 45 a 49 Anos ";"População de 50 a 54 Anos ";"População de 55 a 59 Anos ";"População de 60 a 64 Anos ";"População de 65 a 69 Anos ";"População de 70 a 74 Anos ";"População de 75 Anos e Mais ";"Cód. IBGE"
"Lajeado";"2018";"13894";"13143";"12393";"14345";"16255";"15674";"14951";"13574";"12393";"11347";"9704";"7985";"6361";"4491";"2886";"3006";
"Lapa";"2014";"3400";"2984";"2914";"3173";"3741";"4893";"5709";"5679";"4999";"4801";"4901";"4551";"3876";"3135";"2537";"5362";
"Lapa";"2018";"3285";"3322";"2996";"3067";"3428";"4077";"5099";"5762";"5519";"4931";"4813";"4774";"4294";"3549";"2779";"5368";
"Liberdade";"2014";"4008";"3086";"2987";"3409";"4541";"6607";"7542";"6678";"5556";"4809";"4555";"4347";"3730";"2986";"2123";"3896";
"Liberdade";"2018";"3985";"3782";"3073";"3128";"3712";"5004";"6843";"7378";"6422";"5359";"4722";"4474";"4122";"3456";"2598";"4148";
"Limão";"2014";"5699";"4573";"4926";"5504";"5921";"7005";"7051";"6504";"5671";"5184";"4927";"4620";"3817";"2856";"1997";"3334";
"Limão";"2018";"5618";"5219";"4491";"4993";"5585";"6125";"6835";"6701";"6062";"5310";"4874";"4605";"4151";"3295";"2321";"3382";
"Mandaqui";"2014";"6314";"5626";"6222";"7293";"7774";"8935";"9139";"8894";"8492";"8157";"7768";"6697";"5253";"4131";"3071";"4722";
"Mandaqui";"2018";"6178";"6008";"5637";"6498";"7555";"8162";"8887";"8909";"8595";"8188";"7850";"7280";"6041";"4664";"3505";"5074";
"Marsilac";"2014";"534";"604";"717";"880";"755";"700";"607";"571";"497";"547";"500";"445";"334";"237";"159";"196";
"Marsilac";"2018";"528";"533";"607";"758";"859";"751";"661";"583";"528";"491";"513";"467";"392";"284";"192";"223";
"Moema";"2014";"4103";"3702";"3332";"3625";"4392";"6154";"7945";"8338";"7185";"6268";"6444";"6206";"5620";"4361";"2972";"5767";
"Moema";"2018";"3931";"4078";"3674";"3556";"4028";"4951";"6655";"8214";"8197";"6998";"6369";"6412";"6068";"5273";"3855";"6256";
"Mooca";"2014";"4414";"3675";"3612";"4102";"4994";"6209";"6718";"6544";"6010";"5735";"5533";"5065";"4151";"3213";"2615";"5457";
"Mooca";"2018";"4371";"4267";"3710";"3873";"4552";"5477";"6420";"6763";"6451";"5952";"5672";"5379";"4738";"3746";"2842";"5449";
"Morumbi";"2014";"3393";"2655";"2923";"3246";"3312";"3808";"4122";"4167";"3866";"3649";"3358";"2934";"2464";"2002";"1499";"2296";
"Morumbi";"2018";"3474";"3204";"2747";"3129";"3435";"3543";"3918";"4175";"4118";"3836";"3599";"3250";"2784";"2295";"1785";"2622";
"Parelheiros";"2014";"12142";"10633";"12323";"14023";"13014";"12229";"11831";"11150";"10226";"9041";"7273";"5908";"4195";"2818";"1675";"1708";
"Parelheiros";"2018";"12733";"11678";"11026";"13144";"14378";"13078";"12122";"11634";"10871";"9896";"8466";"6802";"5256";"3620";"2275";"2129";
"Pari";"2014";"1453";"1082";"1114";"1204";"1378";"1713";"1610";"1366";"1243";"1156";"1041";"885";"704";"624";"475";"1031";
"Pari";"2018";"1491";"1351";"1096";"1163";"1276";"1479";"1694";"1547";"1331";"1217";"1117";"987";"806";"654";"533";"1010";
"Parque do Carmo";"2014";"5191";"4769";"5295";"5741";"5715";"6295";"6371";"5820";"5167";"4573";"3877";"3410";"2701";"1979";"1249";"1566";
"Parque do Carmo";"2018";"5046";"4938";"4770";"5399";"5796";"5865";"6212";"6080";"5494";"4875";"4231";"3608";"3057";"2346";"1590";"1780";
"Pedreira";"2014";"11157";"10896";"11862";"13451";"13351";"14112";"13717";"12756";"11277";"10062";"8269";"6928";"5091";"3491";"2166";"2499";3537107
